# slug	category	ports	review	evidence
# Delete a row to reject it. Rows are a worklist for
#   pnpm enrich-io <slug>   /   /io-enrich
# There is no apply step: the connector has to come from the
# maker's manual or a rear-panel photo, never from this report.
# A row marked 'review' is on a category that is not
# definitionally mains-powered — a passive cabinet and an
# active monitor are both 'speaker'.
a-designs-mix-factory	summing-mixer	4	review	nnels - External switchable power supply (120v/230v)
a-designs-nail	compressor	4		Range: Off, 8Hz to 250Hz - Power Supply: 120/230VAC, 23 watts - Dim
a-designs-pacifica	preamp	6		- THD: <1% - Power: 100/120/230 VAC, 23W - Dimensions: 19" x
a-designs-ventura-se	preamp	5		: 9kHz (fixed) - Power: 120/230 VAC, 23W - Country of origin:
adam-audio-a8h	studio-monitor	3		m of the cabinet (4 x M8) - Power consumption (max, idle, sleep): 220 W,
aea-ribbon-mics-trp3	preamp	4		noise gain with a universal power supply for worldwide use. Specific
aguilar-ag-500	bass-amplifier	9	review	for cooling and a universal mains voltage power supply, suppo
aguilar-ag-700	bass-amplifier	9	review	ware and features universal mains voltage compatibility for w
aguilar-tone-hammer-500	bass-amplifier	9	review	lifier features a universal mains power supply (SMPS) for wor
aguilar-tone-hammer-700	bass-amplifier	9	review	an efficient switching-mode power supply and cooled by dual whisper
allen-and-heath-dlive-mixracks	mixer	110		ot-swappable dual-redundant PSU. C Class MixRacks: CDM64 (
allen-and-heath-dlive-surfaces	control-surface	49	review	ntrols, and a hot-swappable PSU with dual-redundant option.
allen-and-heath-ip6	remote-controlled	1	review	— the IP6 ships with a 12V PSU and also supports PoE. Fre
allen-and-heath-ip8	remote-controlled	1	review	— the IP8 ships with a 12V PSU and also supports PoE. Fre
allen-and-heath-me-1	headphone-amp	5	review	Built-in Signal Generator; Mains or PoE Powered; Daisy Chain
allen-and-heath-me-500	headphone-amp	4	review	utputs; Solo and Mute Keys; Mains or PoE Powered; Daisy Chain
allen-and-heath-me-u	utility	3	review	ed and powered via external PSU. Multiple ME-U hubs can be
alm-busy-circuits-passive-mult	utility	7	review	unbuffered outputs with no power consumption required. Features one 4-wa
ampeg-svt-7pro	bass-amplifier	5	review	e-driven preamp, switchmode power supply, and onboard compressor. It
antelope-audio-isochrone-trinity	rack-mount	41	review	ibration and dual redundant power supply will keep the unit running
api-audio-500vpr-10-slot-rack-w-ps	rack-mount	20	review	I L200PS external tri-polar power supply. Five-year warranty. 10-slo
api-audio-6-slot-high-current-lunchbox	rack-mount	3	review	x with internal 250 mA/slot power supply, +48V phantom power bussed
api-audio-8-slot-lunchbox	rack-mount	1	review	ack with internal universal PSU (250 mA/slot), DB-25 rear c
